RPId,x,y,z,udx,udy,vdx,vdy
0,3.23075e-15,56.0044,-203.377,-0.707107,0.707107,0.707107,0.707107
1,3.21965e-15,-56.3534,-203.377,0.707107,-0.707107,-0.707107,-0.707107
2,57.1404,6.60583e-15,-203.827,0.707107,0.707107,0.707107,-0.707107
3,21.6746,3.38523,-212.55,0.606462,0.795112,0.795112,-0.606462
4,-2.94625,19.7581,-213,-0.797949,0.602725,0.602725,0.797948
5,3.05492,-20.129,-213,0.799131,-0.601156,-0.601156,-0.799131
20,-0.564421,20.3219,-214.628,-0.707072,0.707141,0.707142,0.707072
21,-0.377962,-20.5869,-214.628,0.707534,-0.706679,-0.706679,-0.707534
22,21.6755,1.1006,-215.078,0.71229,0.701885,0.701884,-0.712291
23,21.197,0.234503,-219.55,0.708564,0.705646,0.705646,-0.708564
24,-0.131902,20.7758,-220,-0.706968,0.707245,0.707246,0.706968
25,0.106,-21.1111,-220,0.70697,-0.707244,-0.707244,-0.706969
100,0,56.0124,203.377,0.707107,0.707107,-0.707107,0.707107
101,3.16414e-15,-56.0594,203.377,-0.707107,-0.707107,0.707107,-0.707107
102,57.1294,-6.60583e-15,203.827,0.707107,-0.707107,0.707107,0.707107
103,21.8954,3.37398,212.55,0.796603,-0.604503,0.604503,0.796603
104,-2.93066,19.86,213,0.602076,0.798439,-0.798439,0.602076
105,3.19089,-20.2107,213,-0.601824,-0.798629,0.798629,-0.601824
120,0.62918,21.8569,214.628,0.693051,0.720888,-0.720888,0.693051
121,-0.118151,-20.7423,214.628,-0.707924,-0.706288,0.706288,-0.707924
122,21.7614,0.959219,215.078,0.703651,-0.710545,0.710545,0.703651
123,21.0536,-0.122964,219.55,0.704212,-0.709989,0.70999,0.704212
124,-0.571971,20.8114,220,0.707678,0.706535,-0.706535,0.707678
125,-0.725337,-21.388,220,-0.705822,-0.708388,0.708388,-0.705823
