ID,x,y,z
0,0,109.112,-203.377
1,0,-109.461,-203.377
2,110.248,0,-203.827
3,74.3135,10.8262,-212.55
4,-10.3041,72.4167,-213
5,10.481,-72.6871,-213
20,-0.52001,73.4942,-214.628
21,-0.33624,-73.6492,-214.628
22,74.8231,1.14619,-215.078
23,74.3465,0.28259,-219.55
24,-0.0928,73.9615,-220
25,0.14101,-74.1896,-220
100,0,109.12,203.377
101,0,-109.167,203.377
102,110.237,0,203.827
103,74.5265,10.9092,212.55
104,-10.3025,72.6176,213
105,10.6081,-72.6669,213
120,0.65012,75.1286,214.628
121,-0.09475,-73.7221,214.628
122,74.8935,1.10521,215.078
123,74.1824,0.03467,219.55
124,-0.55503,74.0921,220
125,-0.70491,-74.3582,220
