ID,x,y,z
0,0,109.112,-203.377
1,0,-109.461,-203.377
2,110.248,0,-203.827
3,74.2695,10.7656,-212.55
4,-10.3417,72.3403,-213
5,10.4537,-72.7397,-213
20,-0.55581,73.4182,-214.628
21,-0.3626,-73.7032,-214.628
22,74.7896,1.0773,-215.078
23,74.3163,0.19659,-219.55
24,-0.11825,73.8557,-220
25,0.12001,-74.2639,-220
100,0,109.12,203.377
101,0,-109.167,203.377
102,110.237,0,203.827
103,74.5015,10.8517,212.55
104,-10.3066,72.5459,213
105,10.599,-72.7209,213
120,0.64521,75.0566,214.628
121,-0.10113,-73.7679,214.628
122,74.8846,1.04213,215.078
123,74.1655,-0.04007,219.55
124,-0.55825,74.0147,220
125,-0.71186,-74.4089,220
