ID,x,y,z
0,0,109.112,-203.377
1,0,-109.461,-203.377
2,110.248,0,-203.827
3,74.2827,10.7886,-212.55
4,-10.3286,72.3658,-213
5,10.4606,-72.7192,-213
20,-0.54961,73.4357,-214.628
21,-0.35453,-73.7053,-214.628
22,74.8019,1.09988,-215.078
23,74.3248,0.22774,-219.55
24,-0.11743,73.8835,-220
25,0.12325,-74.2329,-220
100,0,109.12,203.377
101,0,-109.167,203.377
102,110.237,0,203.827
103,74.5062,10.9349,212.55
104,-10.3061,72.6321,213
105,10.5984,-72.6345,213
120,0.64695,75.1378,214.628
121,-0.10173,-73.6787,214.628
122,74.8895,1.13397,215.078
123,74.1775,0.06646,219.55
124,-0.5564,74.1175,220
125,-0.71137,-74.3037,220
